N non_sym sym
100 0.006948908262700171 0.007507611595357816
110 0.006246840702322731 0.00676267385182952
120 0.005678520475580817 0.006150398525182926
130 0.005181918437801969 0.005614523559971191
140 0.004762433614351719 0.0051734078568745345
150 0.004392595606083516 0.004773780626211144
160 0.004077595712219051 0.0044366873031427
170 0.0037910941548085497 0.004131853873636321
180 0.003542802089163577 0.0038628502792988073
190 0.003317669798805656 0.0036257214004382365
200 0.003114051796363232 0.003404505062845342
210 0.002935368272292127 0.0032104227762673465
230 0.002614845668891419 0.002866996060867405
240 0.0024715363582444028 0.002715779170993249
250 0.0023444332478262664 0.0025782114372108478
260 0.002225273849957632 0.002449128262500516
270 0.0021147725406638618 0.002332708402307093
280 0.002012250958359746 0.0022214940181444487
290 0.0019177946752296504 0.0021207070921651916
300 0.0018285075686443886 0.002024155146722467
310 0.0017459599468196974 0.0019345355317449409
320 0.0016675555717806378 0.0018519162569762826
330 0.0015935907587498466 0.0017716806501922588
340 0.001526133956899045 0.001699393802394672
350 0.001459329847622537 0.0016280208129506035
360 0.001399838856864677 0.001563210794433334
370 0.0013400662967517352 0.001500232802011725
380 0.0012857344062284504 0.0014409611467621763
390 0.0012334173606605714 0.0013843515059806244
400 0.0011832899197238844 0.0013310593718486308
